1	0 4  1	69	103
2	0 4  2	69	95
3	0 4  3	45	68
4	0 4  4	26	44
5	0 4  5	19	25
6	0 5  1	100	107
7	0 5  2	73	99
8	0 5  3	50	72
9	0 5  4	29	49
10	0 5  5	22	28
11	0 6  1	104	112
12	0 6  2	78	103
13	0 6  3	54	77
14	0 6  4	32	53
15	0 6  5	22	31
16	1 4  1	77	100
17	1 4  2	57	76
18	1 4  3	40	56
19	1 4  4	21	39
20	1 4  5	16	20
21	1 5  1	85	85
22	1 5  2	63	84
23	1 5  3	45	62
24	1 5  4	23	44
25	1 5  5	18	22
26	1 6  1	93	112
27	1 6  2	69	92
28	1 6  3	50	68
29	1 6  4	25	49
30	1 6  5	20	24
